name,activation,target,area,duration,range,savetype,onsave,school,description,level,icon
ARGENT KINGS SCEPTER,standard,One creature,,Instant,Melee attack,,,Silver Crane (Strike) [Good],"The initiator of this strike holds his weapon aloft
briefly, allowing it to fill with holy wrath before
striking the blazing weapon down with righteous
finality. This strike inflicts an additional 12d6 points
of damage and heals the initiator for 60 points of
damage.",6,icons/svg/wing.svg
HOLY PINIONS,standard,One creature,,Instant,Melee or ranged attack,Will,partial,Silver Crane (Strike) [Good],"Saving Throw: Will partial
Using this advanced technique of the Silver Crane,
the martial disciple infuses his strike with the pure
celestial essence of their heavenly companion and
smites the forces of the Lower Planes. Make an attack
that inflicts and additional 10d6 points of damage.
The disciple may also choose to strike incorporeal
foes with this strike as if they were made manifest,
including fiends who currently possess a creature. To
strike a possessing fiend, the body they inhabit must
be also struck, but all damage goes to the possessing
fiend without harming the host. If used against a
possessing fiend or an incorporeal creature, he may
attempt to make this creature corporeal (if used
against a possessing fiend, the creature will appear
adjacent of the host) temporarily. The creature must
make a Will save (DC 16 + initiation modifier) or be
made corporeal and stunned for the characters
initiation modifier in rounds (minimum of one
round).",6,icons/svg/wing.svg
SILVER CRANES MERCY,swift,You or ally,,Instant,Personal or 30-ft,,,Silver Crane (Boost) [Good],"With a recitation of power and a prayer for mercy
upon those who are servants of heaven, the Silver
Crane disciple strikes out at the evil he battles. Upon
making a successful attack, you or an ally within 30-ft
of you is healed of 9d6 points of damage.",6,icons/svg/wing.svg
DIAMOND DISPLACEMENT STRIKE,standard,One creature,,Instant,Melee or ranged attack,Will,partial,Silver Crane (Strike) [Good],"The ultimate defensive technique of the Silver
Crane, glittering wings of celestial might wrap
around the martial disciple initiating this maneuver,
protecting him from harm. You gain DR 30/evil
against a single attack, or may shed one condition
that has been placed upon you or negate one that is
about to be placed upon you (such as bestow curse or
the effect of a power word: blind spell, but not damage
effects from spells such as fireball).",7,icons/svg/wing.svg
HOLY RUSH,swift,You,,,50-ft,,,"Silver Crane (Boost) [Good,",,7,icons/svg/wing.svg
BENEDICTION OF THE SILVER CRANE,swift,You and allies,,Instant,30-ft,,,Silver Crane (Boost) [Good],"With a powerful cry of need, the true glory of
heavens mercy pours down upon the Silver Crane
disciple in a flood of healing benediction. Upon a
successful attack, the initiator and all allies within 30-
ft of his position are healed of 12d6 points of damage.",8,icons/svg/wing.svg
CELESTIAL PINIONS,standard,One creature,,Instant,Melee or ranged attack,,,Silver Crane (Strike) [Good],"Martial disciples with this technique have learned
to strike through the ether and destroy the very
essence of their infernal foes in a blazing torrent of
holy light. Make an attack against a foe that inflicts an
additional 15d6 points of damage. The disciple may
also choose to strike incorporeal foes with this strike
as if they were made manifest, including fiends who
currently possess a creature. To strike a possessing
fiend, the body they inhabit must be also struck,
but all damage goes to the possessing fiend without
harming the host. If used against a possessing fiend
or an incorporeal creature, the creature must make a
Will save (DC 18 + initiation modifier) or be instantly
slain.",8,icons/svg/wing.svg
STRIKE OF SILVER EXORCISM,,One creature,,"Instant, 1d4 rounds",Melee or ranged attack,Will,partial,Silver Crane (Strike) [Good],"Saving Throw: Will partial
The ultimate technique of the Silver Crane is a
strike that rends the essence of the foes of the heavens
asunder and brings them to ruin in one blazing
stroke. This strike adds an additional 80 points of
sacred damage to the attack and dazzles the foe for
one round. Undead or evil outsiders who are struck
by this attack suffer 120 points of sacred damage
instead and must make a Will save (DC 19 + initiation
modifier) or be instantly slain. Creatures that succeed
on the saving throw are instead hindered by holy
power, being under the effects of a slow spell for the
characters initiation modifier in rounds as their very
essence quakes with the agonies inflicted by pure
celestial energies.",9,icons/svg/wing.svg
CURVING RAY SHOT,standard,One creature,,Instant,Ranged attack,,,Solar Wind (Strike),"The disciples keen eyes allow him to fire his
weapon around his foes cover. The initiator makes
an opposed Perception check against targets Armor
Class before making a single ranged attack; if
successful then the foes cover is negated.",1,icons/svg/sun.svg
HORIZON WIND LANCET,swift,You,,Instant,Personal,,,Solar Wind (Boost),"The tenets of the Solar Wind have taught the disciple
how to place more force behind his attacks. The
initiator inflicts an additional 1d6 points of damage
on a single ranged attack he makes this round. If the
initiator is making multiple attacks in this round, this
bonus applies to the first attack the initiator makes.",1,icons/svg/sun.svg
SOLAR STING,standard,10-ft. by 10-ft. square,,1 round / 2 initiator levels,Ranged attack,,,Solar Wind (Strike),"The Solar Wind disciple readies his attack and
launches it into the sky. The weapon crashes down
into the targeted area and creates a semi-real field of
phantom caltrops. The initiator chooses a target area
within range of his ranged attack, and makes an attack
roll to hit that location (AC 5 plus any range penalties).
The target area (one 10-ft. by 10-ft. square) becomes
covered with phantom caltrops of softly glowing light
that cause the area to be considered difficult terrain
and act as vicious caltrops, using the initiators
initiation modifier as their attack bonus and inflicting
1d2 points of damage and halving the base speed
of any they manage to hit. Targets are denied their
armor bonus, shield bonus, and deflection bonus to
AC against this attack, but if theyre wearing boots or
heavy foot gear they have a +2 armor bonus to their
AC against this attack.",1,icons/svg/sun.svg
STEADY HAND,swift,You,,1 round,Personal,,,Solar Wind (Boost),"The disciples limbs and muscles are strong and
wise with the knowledge of weapons in flight. As a
swift action, the initiator may increase the range of
his ranged attacks by an additional 30-ft. for the first
range increment (first increment only) for one round.",1,icons/svg/sun.svg
FEEL THE WIND,swift,You,,One round,Personal,,,Solar Wind (Boost),"By studying the wind and air around him, the Solar
Wind disciple learns to overcome his surroundings
difficulties when using ranged weapons and may
fire true. The initiator may ignore environmental
variables such as high winds and storm and rain that
would cause the initiator to suffer penalties to his
attack rolls, magically created (such as wall of wind
or control weather or naturally caused such as in a
gale force wind), when making ranged attacks for one
round. This is a supernatural ability.",2,icons/svg/sun.svg
INTERCEPTING SHADE,immediate,You or ally,,Instant,"Personal, or weapons first range increment",,,Solar Wind (Counter),"Sometimes a good offense can be used as a good
defense, so the Solar Wind discipline learns, as he
uses his range to dissuade attacks by his sheer skill
and exceptional aim. The initiator makes an opposed
attack roll against his foes attack roll on an incoming
attack (such as an arrow or thrown weapon, a
charging barbarian, or a skillful slash from a sword,
but not a spell or similar attack) targeting himself
or an ally he can see within his weapons first range
increment; if successful then the attack is negated.",2,icons/svg/sun.svg
SOLAR FLARE,standard,One creature,,Instant,Ranged attack,,,Solar Wind (Strike),"Where the light of the sun touches, so does the
burning reach of the Solar Wind disciple, allowing
him to curve his weapons around impossible angles.
The initiator makes a ranged attack against a target
creature, and this attack ignores any cover defense
that the creature possesses and inflicts an additional
2d6 points of fire damage. This is a supernatural ability.",2,icons/svg/sun.svg
SOLAR LANCE,standard,One creature,,Instant,Ranged attack,,,Solar Wind (Strike),"The disciple focuses his energies into his weapon
and lets loose a powerful shot in a gusting wind. The
initiator makes a ranged attack against his foe and if
successful, the attack inflicts an additional 2d6 points
of damage. The force of the wind that accompanies
this blow is enough to potentially bull rush an
opponent, allowing the initiator to make a free bull
rush attempt as part of this attack, using his initiation
modifier to calculate his CMB for the attempt with a
+2 circumstance bonus. This is a supernatural ability.",2,icons/svg/sun.svg
